Organization Name,Organization Name URL,Categories,Full Description
Abacus Technical Services,https://www.crunchbase.com/organization/abacus-technical-services,Recruiting,They have innovated the hiring process. Their high value approach eases the challenges associated with IT talent acquisition and gives you back the time while still maintaining the oversight you desire. Get the best of both worlds with a tiered set of solutions focused on your specific goals.
Abelian Technologies,https://www.crunchbase.com/organization/abelian-technologies,"SEO, Software, Web Design","Abelian Technologies; is a dynamic, service-oriented enterprise, and is positioned to successfully respond to trends and changes in the information technology industry. Abelian’s client relationships are based on delivering the highest quality professional technology consulting and development services. Abelian enjoys an excellent reputation as a proven resource for strategic planning, needs assessment, client/server programming, interactive multimedia design and Internet/web development services. Abelian Technologies invests extensively to understand the customer business model and integrate in to the system for the benefit of our customers and to enable our customers to stay ahead in business.  Abelian Technologies has a wide range of software products to cater to various industry verticals. Abelian Solutions also provides customized solutions to different business verticals. Staying abreast in this ever-changing field of Information Services makes us hard to replace when it comes to integration and maintenance of High-end servers, Desktops and peripherals etc. Abelian Technologies has its corporate office located in the heart of Ernakulam city with good infrastructure and secure  communication links. Abelian Solutions clients small, medium and large companies operating in various business and service oriented segments."
Abbey Veterinary Centres,https://www.crunchbase.com/organization/abbey-veterinary-centres,"Health Care, Veterinary","Abbey Veterinary Centres is provides health care to pets and animals with the highest quality of veterinary care. Their long-established veterinary practice has been serving the animal community of Shrewsbury and surrounding areas for over 30 years. Originally a mixed practice, it is decided in 2004 to treat small animals only. Their friendly, experienced and professional team of staff continue to ensure the provision of the highest level of veterinary care and client service. They actively promote preventative healthcare to help keep your pets healthy and happy."
Abengoa Bioenergy France,https://www.crunchbase.com/organization/abengoa-bioenergy-france,"Biotechnology, Manufacturing",
ABDA Aviation Sdn. Bhd.,https://www.crunchbase.com/organization/abda-aviation-sdn-bhd,"Logistics, Transportation",ABDA Aviation Sdn. Bhd. provides air freight and passenger transportation.
ABUS Security-Center,https://www.crunchbase.com/organization/abus-security-center,Mobile,ABUS Security Centre is a mobile apps developer company and has developed various iOS applications. It has developed applications like Assistan
ABE Elettronica,https://www.crunchbase.com/organization/abe-elettronica,Manufacturing,"ABE Elettronica ranks amongst the foremost manufacturers of TV broadcasting equipment. ABE, a company ISO 9001 certified, since 38 years produces a comprehensive range of Digital and Analog Multistandard TV Transmitters (up to 20KWp.s/10KWrms), Digital Modulators for all terrestrial and satellite standards, MPEG Encoders, Multiplexers, Satellite Receivers (DVB-S/S2), GNSS Synchronizers, Microwave Links (2 to 23GHz) and Antennas. ABE can assist Customers in the planning and deployment of every step of their technical needs: head-end, backhauling, broadcasting network, technical training and support. ABE participates in the exhibition in collaboration with its spin-off WaveArt, a company specialised in the design and manufacture of innovative FM Transmitters that provide outstanding performance for cutting-edge radio stations. With a dedicated and experienced product design team and the typical enthusiasm of the new generations, ABE and WaveArt have a flair for innovation, using latest technology both to create new products and modernise existing ones."
ABBA Pure & Natural Hair Care,https://www.crunchbase.com/organization/abba-pure-natural-hair-care,"Consumer Goods, E-Commerce, Fashion, Food and Beverage, Health Care, Lifestyle, Retail",
Abacasys,https://www.crunchbase.com/organization/abacasys,"Consulting, Management Consulting, Management Information Systems","Help Companies Hire Talent Faster! Work with customers in the US to understand Oracle project specific requirements and to assist them to procure the best Oracle talent in the USA or remotely in India.  Provide in-depth consulting expertise in the area of Oracle (Products, Technology and Support). Work with customer to analyse, architect and provision Oracle systems on the cloud.  Set-up remote database support teams to provide top of the line support for Oracle databases, Oracle Applications, Fusion Middle ware and Cloud Applications. Research new technology, hardware and cloud, to architect and set-up cost effective, mission critical, enterprise systems. Utilize in-depth understanding of Oracle product and technology stack to help improve business systems."
Absolute Dental,https://www.crunchbase.com/organization/absolute-dental,Health Care,
"Abelite Design Automation, Inc",https://www.crunchbase.com/organization/abelite-design-automation-inc,"Consulting, Product Design, Semiconductor","Company provides breakthrough tools & consulting for advanced timing signoff of complex digital electronic systems for 28-to-10nm deep-submicron technologies. Company has developed new paradigms & cutting edge timing signoff methodologies, which have allowed creating new statistical tools that are superior to commercially available STA/SSTA tools. The tools prevent timing violations in critical paths that lead to silicon failure & remove timing pessimism in the rest of paths. Abelite’s unique & truly statistical tools offer:  	- Modeling all conceivable global/local, random/correlated sources of variations including EDA tools/flow/libraries inaccuracies/errors, PVT & geometry variations in cells, wires/vias, Double Patterning Technology (DPT), Aging Degradation (AD), Layout Dependent Effects (LDE) & FinFET  	- Estimating timing yield & power consumption 	- Achieving timing signoff with needed confidence & with taking into account the number of timing critical paths, and  	- Performing optional signoff at all needed PVT/RC/Via/AD/DPT corners Abelite methodology prevents silicon failure while improving design performance, power & area, obtaining best QoR & reduces TAT, Costs & TTM. Methodology & tools were verified on multiple test-cases & designs for several technology nodes.  Business Value: All current designs are at risk of silicon failure due to drawbacks in conventional EDA tools & methodologies that may overlook violations in few paths with “untypical” structures & properties. At the same time, most companies use too many PVT/RC/Via corners & these corners (libraries) are pessimistically characterized for most logical & clock stages. On top, unjustified & often conservative timing derates are used along with OCV/AOCV/POCV/LOCV/SOCV timing derating methods in STA tools, which are not accurate & have multiple drawbacks. It results in risk of silicon failure in few paths & overdesigning & over-margining the majority of paths.  Abelite provides new advanced tools, which are complimentary to current commercial STA/SSTA tools. Abelite will provide best-in-industry consulting in all areas of timing signoff, work with customers to specify their needs, limitations & goals. Customers decide what additional characterization of technology, designs & EDA tools they will do, what data they will share & what services they require. Abelite will provide answers to all customers’ requests including support on conventional timing derating like AOCV/POCV/LOCV. Customers are not required to change their EDA tools (it may be PrimeTime or Encounter Timing Analyzer/Tempus) & design flows. All Abelite tools & methodologies are unique & not available from other EDA vendors. There are no other such services & tools available today."
AbleCloset,https://www.crunchbase.com/organization/ablecloset,"Child Care, Medical",
Abogado Contigo,https://www.crunchbase.com/organization/abogado-contigo,"Automotive, Consulting","If you were injured in a car accident, motorcycle accident, tractor trailer wreck, or bicycle accident, call the best Santa Ana, Los Angeles California car accident lawyers at 888-333-8515. Abogado Contigo, represents clients throughout Orange County and Riverside County. Call us for a free Consultation. Los Abogados Especialistas en accidentes de auto. Si no ganamos tu caso, no pagas nada!"
ABGI Group,https://www.crunchbase.com/organization/abgi-group,Professional Services,ABGI Group is provides research tax credit (CIR) advisory services.
ABMS Solutions,https://www.crunchbase.com/organization/abms-solutions,"Information Services, Internet, Legal","ABMS Solutions is a platform for Primary Source Verification (PSV) of a physician’s board certification status. Board certification data from the ABMS database meet all PSV requirements as set by The Joint Commission, the National Committee for Quality Assurance (NCQA), and URAC for the secure and timely reporting of credentialing information."
"Absolute Staffers, LLC",https://www.crunchbase.com/organization/absolute-staffers-llc,"Consulting, Government, Human Resources, Information Technology, Staffing Agency","Founded in 2002, Absolute Staffers LLC is an established staffing and recruitment agency offering its services to government and commercial institutions across the US. We focus on building long-term relationships with our clients that makes us one of the best employment agencies for providing staffing solutions for employers and recruitment opportunities for candidates who are looking for jobs in healthcare, administration and technology fields. Our aim is to find the right people and place them in environments where they can succeed and grow. Our expertise in various industries enables us to better understand the staffing needs. For comprehensive and expert staffing and recruitment solutions, get in touch with Absolute Staffers today or drop us an email to get updates on current job opportunities with us."
"Abel Womack, Inc.",https://www.crunchbase.com/organization/abel-womack-inc,"Automotive, Manufacturing, Robotics, Transportation",
ABC Party and Tent Rental,https://www.crunchbase.com/organization/abc-party-and-tent-rental,"Event Management, Events, Rental",ABC Party and Tent Rental is specializing in event and party rentals for gatherings of 10 to 2000 - from weddings and holiday parties to corporate meetings and public events.
Abnovo,https://www.crunchbase.com/organization/abnovo,"Consulting, Health Care, Information Technology, Legal, Medical","AbNovo Ltd provides network based comprehensive outsourcing solutions for manufacturers of medical devices. They have an unparalleled network of highly qualified service providers and also maintain excellent relations with Competent Authorities and other relevant stakeholders. AbNovo Ltd, together with its network partners, has expertise on all phases and aspects of product and business development life cycles. AbNovo Ltd also provides high level regulatory consulting services as well as authorised representation within the European Union."
Abaca Technology Corporation,https://www.crunchbase.com/organization/abaca-technology-corporation,"Cloud Computing, Network Security, Software","Abaca Technology Corporation is a developer and marketer of an email protection and messaging security solutions for enterprise and government customers, as well as small to medium-sized businesses."
ABC na Cozinha,https://www.crunchbase.com/organization/abc-na-cozinha,"Cooking, Food and Beverage, Food Processing, Nutrition, Wellness","ABC na Cozinha encourages children to have healthier eating habits and to eat real food. ABC na Cozinha guide students to develop curiosity about food and learn culinary techniques about nutrition and are introduced to new flavors, aromas, and textures. It offers course of gastronomy for children and adolescents, workshops, nutritional education, and cooking. ABC na Cozinha was founded on 2012 and is headquartered in Joinville, Brazil."
Absolute Robot Incorporated,https://www.crunchbase.com/organization/absolute-robot-incorporated,"Automotive, Plastics and Rubber Manufacturing, Robotics","While it is the newest addition to the Absolute group of companies, ARI was founded on the same principles as its predecessors. With a customer-focused mindset, ARI follows Absolute Machinery, Absolute Haitian and Absolute Green Energy on their path to establish themselves as industry leaders. ARI seeks to provide their injection molding customer base with quality, cost-efficient solutions. They provide solutions to all of your automation needs. Your success is their passion here at ARI. Partnering with Well-Lih of Ningbo, China has allowed us to market a wide range of robots. They serve all of North and Central America. From pneumatic pickers to full servo robots that may be equipped on machines up to 3,300 tons. This partnership also allows ARI to provide new and pre-owned machinery to their valued customers. They are able to provide quality automation solutions while providing the level of support their customer base has grown to expect. ARI headquarters is located in Worcester, MA. All of their robots come here to be inspected and tested by their engineering staff prior to shipment. They also maintain a large inventory of new and used robots. This allows us to get your robots to you as quickly as possible."
Able Grape,https://www.crunchbase.com/organization/able-grape,"Lifestyle, Search Engine, Wine And Spirits",Able Grape is a vertical wine search engine founded by Doug Cook in January 2008.
Abilect,https://www.crunchbase.com/organization/abilect,"Home Services, Information Technology, Marketplace","Abilect is an online marketplace that is aiming to bring the digital tools needed to traditional industries in the sectors of property maintenance and renovation, events services and personal services. Our goal is to ensure that our service providers have the visibility they need to connect with their pool of customers and that our customers are able to expand their accessibility into the market in order to find the right provider for the quickest and best solutions."
AboveInfinity,https://www.crunchbase.com/organization/aboveinfinity,"Communities, Gaming, Sports, Video Games",
Abylsen,https://www.crunchbase.com/organization/abylsen,"Construction, Industrial Engineering","Abylsen Group provides engineering consultancy services in France and internationally. It offers services in the areas of mechanics, metallurgy, plastics processing, mechatronics and electronics, on-board software, and optronics and information technology for automotive industry; design, manufacture, and maintaining in operational condition for aeronautics, space, and defense industry; project management, solvency, actuarial, and organization for insurance and social welfare industry."
"Abstract, Inc.",https://www.crunchbase.com/organization/abstract-inc,Insurance,
Absoft,https://www.crunchbase.com/organization/absoft,"Digital Entertainment, Video, Video Streaming","Absoft is a swedish based streaming company. We deliver online video on demand and live, around the clock, around the world."
Abatement Industries Group,https://www.crunchbase.com/organization/abatement-industries-group,Environmental Engineering,"Abatement Industries Group is an asbestos abatement and selective demolition contractor. AIG provides demolition, insulation, asbestos, lead, mold and PCB cleanup services to universities, hospitals, publicly traded corporations, municipalities and private corporations."
Absly,https://www.crunchbase.com/organization/absly,"Software, Venture Capital","Absly is a smart service for early-stage venture organizations (angels, funds, accelerators) to save time they spend collecting, sorting, monitoring and co-working with early stage startups, who use Absly to work on their business model to become profitable business by checking assumptions."
ABBY.io,https://www.crunchbase.com/organization/abby-io,Developer Tools,
ABCBOOKKART,https://www.crunchbase.com/organization/abcbookkart,"EBooks, Education, Retail","ABC BOOK KART has set a benchmark in India’s books’ fraternity. Be it educational, novels or fictions, we deal in all types of books. Our educational range is not limited to books for schools (9-12 CBSE Board), colleges (Delhi University), medical, technical, competitive fields."
Absortech,https://www.crunchbase.com/organization/absortech,Logistics,Absortech is a logistics and supply chain.
Absolute Digitizing,https://www.crunchbase.com/organization/absolute-digitizing,"Art, Graphic Design","Absolute Digitizing offers digitizing at a rate of $1 per 1000 stitches with no compromise on quality. There is no hidden, set up or sign up charges for our services. We provide 24 hour turn -around with excellent quality."
ABT,https://www.crunchbase.com/organization/abt,Software,"The company delivers training, mentoring and implementation in one-on-one and one-on-small group sessions that are designed to transfer knowledge to the client company."
About Fun,https://www.crunchbase.com/organization/about-fun,"Gaming, Mobile Apps, Online Games","About Fun (AF), an independent Prague-based gaming studio founded in 2012, has already developed several highly-successful games. In a comparatively short space of time, AF already holds a number of prestigious awards, including the Best of AppStore 2013 from Apple, and has received universally excellent reviews from the  players.  Also received Czech Game of the Year 2017 Award in the ""Best Czech Game for Mobile Devices"" category! About Fun is particularly proud to be the developer of WarFriends, which was successfully launched in January, 2017 and has so far over 8 million downloads worldwide. Unsurprisingly, About Fun has achieved literally millions of downloads, and enjoys the cooperation of such partners as EA Chillingo (Electronic Arts division)."
ABC Healthcare,https://www.crunchbase.com/organization/mobi-healthcare,"Health Care, Information Technology, Pharmaceutical","Technology & Innovation Company to the Healthcare, Medical,Pharmaceutical, Life Science,Laboratory Diagnostics and Information Technology Healthcare Enterprises Solutions."
ABSS Solutions,https://www.crunchbase.com/organization/abss-solutions,"Enterprise, Government","Founded in 2007, ABSS Solutions, Inc. (ASI) is a Maryland headquartered firm specializing in the provision of Medical & Behavioral Health Services Fields with service providers located within the United States and Internationally. Medical capabilities include patient services, case management, medical research, and medical services training for Federal, State, Local governments, and Commercial customers. With operations in 7 countries, over 20 cities, and covering 18 time zones, ASI has a proven track record of managing projects of multiple size and scope worldwide. ASI has established an enduring reputation for delivering e-Learning Solutions, specialized training and consulting services in the field of Aviation. ASI provides and delivers a host of IT Solutions, IT acquisition services, and staffing solutions to include project management, field service, and call center support."
Abunga.com,https://www.crunchbase.com/organization/abunga-com,E-Commerce,"Abunga.com is family friendly online marketplace for books with over 1.6 million new titles, creating a safe shopping experience while giving back 5% to your favorite non-profit.   As ""Your Family Bookstore"" we carry everything from cookbooks to the classics and use some innovative filtering to remove the illicit (e.g. pornographic, witchcraft, etc.) books while offering up great prices, and giving back 5% of all sales.  Our filtering is run off a a blacklist of book categories, combined with keyword level filtering, and to cap it off we tap into crowd-sourcing and let our customers tell us what we should and shouldn't sell by using block book icons on the site.   We donate 5% of all sales to non-profits each year. Connecting our customers with causes they care about adds meaning to how they shop, not just how they personally choose to give.  We give the customer almost unlimited personal choice on who to support, model allowing them to support causes both globally and within their own community."
AbiCalc,https://www.crunchbase.com/organization/abicalc,"Apps, Information Technology, Marketing",AbiCalc offers the possibility to enter each exam grade in the app and to follow the course optimally.
AbleGamers Charity,https://www.crunchbase.com/organization/ablegamers-charity,"Gaming, Video Games",
ABVote,https://www.crunchbase.com/organization/abvote,"Apps, Mobile, Mobile Apps",
Abraham & Sousa,https://www.crunchbase.com/organization/abraham-sousa,"Consulting, Food and Beverage, Retail","Abraham & Sousa is a company dedicated to the consulting, importation, and distribution of products for the food industry in the European market. The company has an effective capacity of distribution based on quality, safety, and reliability of its products to its customers and suppliers. Primarily working with the retail and wholesale at the national and regional market, Abraham & Sousa is also working in the promotion of the development of the quality of production from the companies that are looking to integrate their products in the company's channels of distributions. Abraham & Sousa is based in Castelo Branco, Portugal."
Aboomba,https://www.crunchbase.com/organization/aboomba,Fashion,"Aboomba is a movement-- a movement for Intelligent Style. Together with Their loyal customers, They are on a mission to build a unique space for fashion-- one that is highly visual, deeply cultural & socially conscious. Just like the sophisticated woman & man who shops with us. When you shop on Aboomba.com, you also get the best prices-- because you buy directly from designers you love."
abeo.us,https://www.crunchbase.com/organization/abeo-l-i-f-e,"Enterprise Software, Private Social Networking, SaaS, Software","The abeo social network helps people understand themselves and others, leading to improved communication, management and performance. Abeo lets you create a private social network for your organization or embeds within your existing social network tools."
Ababai,https://www.crunchbase.com/organization/ababai,"Advertising, Marketing, Video Advertising, Web Design, Web Development","Ababai is a website production company that operates and specializes in website design and website planning and creation. The company offers services in web revolution plan, video creation service, recruiting site production specialized for construction companies, flyer/brochure production service, smartphone customer services, update management system, the flow of homepage production, and professional photographer shooting service. Ababai provides products including communication business, web marketing business, and design business. They also conduct a wide range of after-sales follow-up such as access analysis and operation management for the created website. Ababai was established in May 2006 and is headquartered in Nagoya, Japan."
AbuHakim,https://www.crunchbase.com/organization/abuhakim,"Digital Marketing, E-Commerce, Internet","AbuHakim Inc. delivers Korean products to Middle East consumers with ""AlfBox"", an optimized commerce platform, which caters to the language, culture, and online transaction process of the region."
Abrams Media,https://www.crunchbase.com/organization/abrams-media,"Advertising, Advertising Platforms, Digital Media, News","Abrams Media offers custom advertising solutions to help you reach their growing audience of nearly 10 million monthly affluent and educated consumers, as well as leaders in media, entertainment, fashion, technology and sports."
Abcourt Mines,https://www.crunchbase.com/organization/abcourt-mines,"Mineral, Mining, Mining Technology","Abcourt Mines inc. is a Canadian based mining, development and exploration company with five strategically located properties in Northwestern Quebec, Canada, all easily accessible by roads. For a description of mining properties see News, management discussion and analysis in Financial Information and the technical reports filed on SEDAR or under Downloads. The resources mentioned in Financial Information on ou web site for the Vendome-Barvallee property, the Aldermac mine and the Jonpol property were prepared before the publication of National Instrument 43-101 and are presented for historical reasons only.  The resources for the Abcourt-Barvue property and the Elder mine have recently been revised by an independent qualified engineer, in accordance with National Instrument 43-101. The Abcourt properties lie within and adjacent to the prolific gold-producing belts of the ""Porcupine-Destor Break"" and the ""Larder Lake-Cadillac Break"" that run through the Rouyn-Noranda and Val-d'Or, Quebec, regions where more than 40 million ounces of gold  and substantial amounts of copper and zinc have been produced. A 2008 43-101 feasibility study completed by Genivar of Quebec City indicates that the Abcourt-Barvue silver-zinc proven and probable ore reserves are economical to mine at current silver and zinc prices. Currently, a mine development program is being conducted at Elder gold mine near Rouyn-Noranda, Quebec, Canada. Abcourt is a reporting issuer in Quebec, Ontario, Alberta and British Columbia. It is listed on the TSX Venture Exchange under the trading symbol ABI.V and in Berlin (AML-BE) and Frankfurt (AML-FF)."
Abox Yihe,https://www.crunchbase.com/organization/abox-box,Consumer Goods,
Abacus International,https://www.crunchbase.com/organization/abacus-international,"Health Care, Market Research, Payments",Abacus International was founded in 1995. Their services have evolved over time to meet the increasing need for health economic and evidence based solutions; their vast experience across a wide range of disease areas is second to none.
"Abercrombie, Simmons & Gillette",https://www.crunchbase.com/organization/abercrombie-simmons-gillette,"Information Technology, Insurance","Abercrombie, Simmons & Gillette strength is our staff. Averaging more than 25 years experience each, their team is comprised of the most experienced field adjusters available in the industry.  Their expertise and dedication to customer service provide an unsurpassed capability to efficiently investigate claims on behalf of their clients."
Absys Cyborg,https://www.crunchbase.com/organization/absys-cyborg,Information Technology,"Absys Cyborg is engages in the integration of business solutions for small, medium-sized, and large businesses worldwide. It offers solutions for Microsoft Dynamics NAV 2013 functionalities, such as financial, supply chain, human resource, project, and service management, as well as reporting, manufacturing, and sales and marketing; and Microsoft Dynamics CRM add ons, including e-commerce, data acquisition in radio mode, data sharing with the partners, data acquisition in Wi-Fi mode, data sharing business to business, and analysis and statistics."
AboveNation Media,https://www.crunchbase.com/organization/abovenation-media,"Advertising, Marketing","AboveNation Media is a full-service media strategy, planning and buying agency with a focus on ad tech and proprietary media solutions. "
Able Brewing,https://www.crunchbase.com/organization/able-brewing,"Brewing, Coffee","Able Was Started By Coffee Professionals Dedicated To Creating Approachable, Reusable And Sustainable Coffee Brewing Equipment. Designed For Professionals And Enthusiasts Alike, All Able Products Are Made With The Highest Quality Materials  Available And Are Produced Completely In The Usa, Utilizing Homegrown Resources And Talent."
Abica,https://www.crunchbase.com/organization/abica,"Information Technology, Telecommunications","Abica are specialists in business telecoms and IT. Our aim to be recognised as the best dedicated business telecoms and IT provider in the UK drives our business on a daily basis.  We have built a proven track record in delivering innovative, fit-for-purpose telecoms and IT solutions, and an award-winning level of customer service."
Abuzz,https://www.crunchbase.com/organization/abuzz,"Apps, Information Technology, Internet","Abuzz is a developer of Beehive, an internet application that allow users to find and work with other users with shared interest and questions through email. Abuzz.com uses filtering technology to allow users to share knowledge and connect on similar interests."
Absolum,https://www.crunchbase.com/organization/absolum,"Consulting, Education, Information Technology, Marketing, Sales, Software, Web Design, Web Development","Absolum is an IT consultant based in Maastricht. We focus on Consulting, Web Development, Automation, Security and bespoke solutions."
Above the Treeline,https://www.crunchbase.com/organization/above-the-treeline,Analytics,"Developer of web-based analytical and workflow tools designed to help independent bookstores to better understand their businesses and to support their publisher-partners. The company's tools analyze operational performance and create operationally focused forecasts and budgets, as well as provide book professionals a single source of information to sell, discover and order new book titles, enabling bookstores to improve finances by controlling inventory costs and increasing staffing efficiency."
ABMB Engineers,https://www.crunchbase.com/organization/abmb-engineers,Construction,"ABMB Engineers provides engineering services in the United States. The company provides traffic, transportation, and infrastructure design services; site development, environmental, and land services; master planning, site and stormwater detention design, permitting, construction support, and traffic mitigation study and design services for education, healthcare, and recreational clients; and water resource management, and coastal protection and restoration services to state and federal agencies. It also engages in the renovation and expansion of water systems, performing sanitary sewer, and water distribution design for municipalities."
Ablak Holdings,https://www.crunchbase.com/organization/ablak-holdings,Food and Beverage,"Ablak Holdings is a holding company specializing in the Acquisition, Startup and Operations of Franchise Food Businesses. Since our inception in 1988, our experienced management team has worked closely with our franchisees to create a profitable and well managed franchise organization. We operate 121 locations with 9 more in development and have 2,000 employees across all concepts. We focus on the development of exceptional brands with our franchise partners"
Abram Interstate Insurance Services,https://www.crunchbase.com/organization/abram-interstate-insurance-services,Insurance,"Abram Interstate Insurance Services  continued to grow their company by adding financially strong, well managed, committed carriers that provide the products their agents and their customers need for the long term. Located in Rocklin, California, they offer a full range of personal lines insurance, commercial lines insurance, and agri-business insurance on both an admitted and non-admitted basis. Their highly skilled team members provide creative solutions to the problems that their retail agents and their customers encounter. They have an ongoing focus on excellent customer service, automation, quality products and company representation. They are prepared to continue their success by providing information and automated solutions to their customers’ problems, while continuing to add products, carriers and services. By following their simple plan of providing solutions to their retail agent base that fills their customer’s needs, they will continue to provide excellent mutual results this year and in the years to come."
ABC7 News,https://www.crunchbase.com/organization/abc7-news,"Digital Entertainment, Internet, News, TV","ABC7 News is an online platform that offers the latest news from Bay Area in live video streams and written posts. It covers San Francisco, Oakland, and San Jose and all of the greater Bay Area."
ABAMobile,https://www.crunchbase.com/organization/abamobile,"Android, EdTech, Education, iOS, Mobile, NFC, Software, Web Browsers","ABAMobile is specialized in solutions for Enterprise Mobility Management.  Our goals are:     • Enterprise productivity improvement with mobile solutions which optimize the internal processes of companies.    • Empower new communication/sales channel with the clients of the company through their mobile devices.  Our services include:     •  Mobility consulting and mobile strategy planification alligned with the business strategy.     •  Mobile application development, (Android, iOS, Blackberry, Windows Phone y HTML5&CSS3)     •  Technology watch of the mobile channel.     •  Specialists on NFC developments (Near Field Communication)"
Absolute Coatings,https://www.crunchbase.com/organization/absolute-coatings,Chemical,"Absolute Coatings, Inc. is a 90 year-old, specialty coatings manufacturer dedicated to formulating and distributing the highest quality urethane coatings for automotive, wood flooring, and industrial applications. We have earned a stellar reputation with a commitment to customer service, products which deliver real value, and a money-back guarantee. Our well-known and long standing brands are sought after by professionals and experienced do-it-yourselfers; and our products enhance the homes, work places, and investments of customers across the globe."
Abide Press,https://www.crunchbase.com/organization/abide-press,"Broadcasting, Film Production, Music, News, Publishing, Social Media, TV Production","Abide Press is a publisher and film and television creative with three major feature films and two television series in development. We will construct a fully operational entertainment center for major events, film and television production accessible by the world's greatest performers Producers and Directors as well as the general public in a prime Opportunity Zone."
Abacus Service Corporation,https://www.crunchbase.com/organization/abacus-service,"Health Care, Information Technology",
Abonobo SA,https://www.crunchbase.com/organization/abonobo-sa,"Digital Media, Information Technology","Abonobo SA was founded in July 2009 by three computer engineers, recently graduated from HEPIA. They were convinced that IT was entering its third phase of evolution (the third wave of IT - see below). Based on this analysis, which announces the growing importance of mobile applications, they have created Abonobo to enable businesses to take advantage of this evolution, which will profoundly change the way companies operate internally and with their customers and partners. Their engineering background has taken them to advanced applications that, by their very nature, are bespoke projects and not standardized products. They must meet the specific and rapidly changing needs of each company."
Absolute Invoice Finance,https://www.crunchbase.com/organization/absolute-invoice-finance,"Financial Services, Information Technology","Absolute Invoice Finance is a factoring and invoice discounting solutions provider based in the UK. Absolute provides loans of between £25,000 and £2.5m to manufacturers, haulage, and transport firms and companies specializing in business-to-business services such as security and recruitment."
AB Biotechnology,https://www.crunchbase.com/organization/ab-biotechnology,"Biotechnology, Pharmaceutical","Ab Biotechnology Ltd is a privately owned company developing and manufacturing high purity bio pharmacetical products to GMP on behalf of a large international client. The company has modern, high quality, well equipped laboratories and recently refurbished MHRA licensed GMP manufacturing facilities. We are located at Pentlands Science Park, 8 miles south of Edinburgh ."
Abby Rating Systems,https://www.crunchbase.com/organization/abby-rating-systems,"Commercial, Insurance, Software","Abby Rating Systems, Inc. was established in 1983, providing software for the rating of policies written through the New Jersey Automobile Full Insurance Underwriting Association (JUA). Abby has since grown into a service specializing in the rating of automobile coverages, both voluntary and residual markets, in four states (New Jersey, New York, Pennsylvania & Connecticut). Over the years, Abby has serviced more than 3500 producers and insurers. Abby Rating Systems, Inc. also serves on the Governing Committees of the New Jersey Personal Automobile Insurance Plan (PAIP) and the New Jersey Commercial Automobile Insurance Plan (CAIP)."
Abacare,https://www.crunchbase.com/organization/abacare,"Health Insurance, Insurance, Life Insurance","Abacare is an international insurance broker covering employee benefits, medical, life, and general insurance needs. For over 20 years, the company has been serving both corporate and individual clients worldwide through an international network of insurance brokers. The company was founded in 1997 and is based in Hong Kong."
Abeco Tanks,https://www.crunchbase.com/organization/abeco-tanks,Machinery Manufacturing,"ABECO Tanks, established in 1983 with the aim of satisfying the ever increasing need for hygienic storage of life’s essential resource, water and went about developing the most cost effective solutions to water storage needs without compromising safety hygiene quality or durability. Using modern technology ABECO has become a leading innovator in the development of water storage solutions. ABECO tanks is a major participant in the market with a global reach in areas including Mauritius, Seychelles, Madagascar, Central America, Middle East, and span over the entire African continent."
ABT Security Systems,https://www.crunchbase.com/organization/abt-security-systems,"Cyber Security, Information Technology, Security","ABT Security Systems Pvt. Ltd. is a leading player in the field of Building Technologies including Fire Protection, Plumbing, WTP, STP and Security Systems."
ABI,https://www.crunchbase.com/organization/abi-32cf,Financial Services,"ABI is the Côte d’Ivoire-incorporated holding company for Groupe Banque Atlantique, a leading West African financial services group operating in the banking and insurance sectors. Founded in 1978, it has been controlled since 2012 by the Banque Centrale Populaire (“BCP”), one of Morocco’s leading banks. ABI operates in all 8 UEMOA countries with branches in Benin, Burkina Faso, Mali and Senegal amongst others."
About Faces Cosmetic Surgery,https://www.crunchbase.com/organization/about-faces-cosmetic-surgery,"Cosmetic Surgery, Health Care","Dr. Mikel Lo is one of Tucson, Arizona's leading cosmetic surgeons and facial plastic surgeons. His specialties include modern techniques in cosmetic surgery, facial plastic surgery and reconstructive surgery. Known for his artistry, Dr. Lo strives to produce aesthetic, natural looking results for his patients at all times."
Above and Beyond,https://www.crunchbase.com/organization/above-and-beyond,"E-Commerce, Manufacturing, Retail",
abrainyquote.com,https://www.crunchbase.com/organization/abrainyquote-com,Education,"We provide small meaningful quotes, motivational and inspirational quotes for all occasions, events, holidays, festivals."
Abodva,https://www.crunchbase.com/organization/abodva,Dating,
ABC Services,https://www.crunchbase.com/organization/abcservices,Information Technology,"ABC Services operates as a server and network solutions provider specializing in IBM Power environments.We enable our clients to maximize their IT efficiency, improve service levels and reduce costs through expert network design and efficient infrastructures using IBM and other industry-leading platforms."
Abelko Innovation,https://www.crunchbase.com/organization/abelko-innovation,"Electronics, Energy","Abelko Innovation was founded in Dubai in 1970. Several of our clients such as the Swedish Transport Administration has been working with us for several decades. We see it as a proof that our responsiveness to our customers' needs and our level of service is appreciated. Our cooperation with research helps us to continually deliver modern solutions that increase our customers' competitiveness. Our basic requirement in all projects is that we want to work together with our customers. It is the cooperation we find the best solutions. Since we own the entire chain from development to production, we are able to give you a complete delivery. As a customer, you can be confident that we keep our promises and are available with and give you support and support after delivery."
